,event_id_cnty,event_date,year,time_precision,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,admin1,admin2,admin3,location,latitude,longitude,geo_precision,fatalities,tags,population_best,civilian_targeting_dummy
1136,UKR235220,2022-10-22,2022,1,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Mykolaiv,Bashtanskyi,Bashtanska,Bashtanka,47.4072,32.4387,2,0,,15510.0,0
1137,UKR78308,2022-10-25,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-) Air Force,,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Mylivska,Nova Kamianka,47.2217,33.5799,1,0,,849.0,0
1138,UKR78322,2022-10-25,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kharkiv,Kupianskyi,Vilhuvatska,Prykolotne,50.1599,37.3501,1,0,,3650.0,0
1139,UKR78699,2022-10-26,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Beryslavska,Beryslav,46.8415,33.4284,2,0,,9755.0,0
1140,UKR120473,2022-10-26,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Kalynivska,Andriivka,47.1761,33.0463,2,0,,99.0,0
1141,UKR120474,2022-10-26,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Donetsk,Kramatorskyi,Lymanska,Kolodiazi,49.0829,37.881,2,0,,268.0,0
1142,UKR120475,2022-10-26,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kharkiv,Kupianskyi,Petropavlivska,Stepova Novoselivka,49.6607,37.8615,2,0,,8.0,0
1143,UKR120476,2022-10-26,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Velykooleksandrivska,Tryfonivka,47.2533,33.5138,2,0,,948.0,0
1144,UKR78549,2022-10-27,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,,,,State forces only,,Crimea,Sevastopol,,Sevastopol,44.6121,33.5244,1,0,,129561.0,0
1145,UKR78701,2022-10-28,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,2,0,,123058.0,0
1146,UKR78700,2022-10-28,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Beryslavska,Beryslav,46.8415,33.4284,2,0,,9755.0,0
1147,UKR78702,2022-10-28,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Mykolaiv,Mykolaivskyi,Pervomaiska,Pervomayske,47.0427,32.44,2,0,,4826.0,0
1148,UKR78703,2022-10-29,2022,1,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-) Navy,State forces,Military Forces of Russia (2000-) Navy,,External/Other forces,State forces-External/Other forces,,Crimea,Sevastopol,,Sevastopol,44.6121,33.5244,1,0,,129561.0,0
1149,UKR120477,2022-10-29,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Novooleksandrivska,Biliaivka,47.3269,33.6915,2,0,,594.0,0
1150,UKR80017,2022-10-29,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-) Special Forces,,State forces,State forces-External/Other forces,,Mykolaiv,Mykolaivskyi,Ochakivska,Ochakiv,46.6128,31.5498,1,0,,13434.0,0
1151,UKR80015,2022-10-29,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kharkiv,Kupianskyi,Kupianska,Kupiansk,49.7106,37.6152,1,0,,29293.0,0
1152,UKR235217,2022-10-29,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Kherson,Khersonskyi,Bilozerska,Nezlamne,46.5846,32.4029,2,0,,1913.0,0
1153,UKR78685,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Mykolaiv,Mykolaivskyi,Ochakivska,Ochakiv,46.6128,31.5498,1,0,,13434.0,0
1154,UKR120478,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Mykolaiv,Bashtanskyi,Bereznehuvatska,Chervonyi Yar,47.3112,32.9836,2,0,,87.0,0
1155,UKR120479,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Zaporizhia,Polohivskyi,Huliaipilska,Huliaipole,47.6639,36.2563,2,0,,10741.0,0
1156,UKR120480,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Mykolaiv,Bashtanskyi,Bereznehuvatska,Kaluha,47.3635,32.941,2,0,,815.0,0
1157,UKR120481,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Mykolaiv,Bashtanskyi,Bereznehuvatska,Murakhivka,47.2462,33.0207,2,0,,829.0,0
1158,UKR120483,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Zaporizhia,Polohivskyi,Preobrazhenska,Preobrazhenka,47.5763,35.8019,2,0,,4164.0,0
1159,UKR78682,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Mykolaiv,Bashtanskyi,Bereznehuvatska,Bereznehuvate,47.3078,32.8499,1,0,,7554.0,0
1160,UKR78684,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Mylivska,Nova Kamianka,47.2217,33.5799,1,0,,849.0,0
1161,UKR78932,2022-10-30,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),Civilians (Ukraine),State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Novooleksandrivska,Novooleksandrivka,47.2655,33.8769,2,0,,781.0,0
